,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
0,WHEAT-SRW - CHICAGO BOARD OF TRADE,200707,2020-07-07,001602,CBT ,0,1,496820,62108,121838,107414,7723,22533,62322,95851,89891,37540,32013,88103,469911,457952,26909,38867,466733,59853,117449,101597,5373,19269,67812,97626,79283,34270,31880,80868,442954,431749,23779,34984,30087,2255,4390,7390,3924,1690,4085,7800,1032,3753,616,6752,26957,26203,3130,3883,   11820,   -1495,    1651,    -841,    -455,    1678,    2386,   -2896,    5375,     904,    4403,    3956,   11961,   13710,    -141,   -1890,100.0,12.5,24.5,21.6,1.6,4.5,12.5,19.3,18.1,7.6,6.4,17.7,94.6,92.2,5.4,7.8,100.0,12.8,25.2,21.8,1.2,4.1,14.5,20.9,17.0,7.3,6.8,17.3,94.9,92.5,5.1,7.5,100.0,7.5,14.6,24.6,13.0,5.6,13.6,25.9,3.4,12.5,2.0,22.4,89.6,87.1,10.4,12.9,369,     68,     86,     24,      8,     18,     55,     64,     63,     53,     62,     61,276,292,    366,     67,     86,     22,     10,     18,     57,     64,     61,     53,     60,     59,    272,    288,    116,     20,     41,     10,      6,      5,     11,     10,      4,      9,     16,     18,     67,     88,11.5,11.2,20.4,20.2,10.2,8.2,17.2,13.9,11.4,11.7,20.1,21.0,10.1,8.7,16.9,14.8,27.1,37.0,45.5,51.0,24.8,32.1,36.8,40.7,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,Combined
1,WHEAT-SRW - CHICAGO BOARD OF TRADE,200630,2020-06-30,001602,CBT ,0,1,484999,63603,120188,108255,8178,20856,59936,98748,84516,36636,27610,84148,457949,444242,27050,40757,456651,61455,116032,103437,5590,17698,64892,101019,74448,33281,27743,77544,432756,420075,23895,36576,28348,2148,4155,6132,3902,1843,4032,6717,1079,3903,415,6056,25193,24167,3155,4181,  -85037,  -12941,   -4347,   -6295,     164,  -19174,    3250,   -6150,   -4996,     -10,   -5766,  -41750,  -81915,  -82019,   -3122,   -3019,100.0,13.1,24.8,22.3,1.7,4.3,12.4,20.4,17.4,7.6,5.7,17.4,94.4,91.6,5.6,8.4,100.0,13.5,25.4,22.7,1.2,3.9,14.2,22.1,16.3,7.3,6.1,17.0,94.8,92.0,5.2,8.0,100.0,7.6,14.7,21.6,13.8,6.5,14.2,23.7,3.8,13.8,1.5,21.4,88.9,85.3,11.1,14.7,352,     64,     84,     24,      8,     20,     52,     66,     62,     52,     47,     55,260,283,    350,     64,     84,     24,      8,     20,     55,     65,     60,     52,     47,     54,    257,    281,    107,     18,     40,     10,      6,      5,      9,      9,      4,      9,     13,     16,     60,     83,12.1,13.1,21.2,22.1,10.7,8.6,18.0,13.9,12.0,13.6,20.7,23.0,10.6,9.2,17.7,15.1,27.6,35.2,46.9,49.2,25.0,30.4,36.5,38.8,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,Combined
2,WHEAT-SRW - CHICAGO BOARD OF TRADE,200623,2020-06-23,001602,CBT ,0,1,570036,76545,124535,114550,8014,40029,56685,104898,89512,36646,33376,125897,539865,526261,30171,43776,544972,74799,120316,109896,4657,37891,57788,107208,83331,34981,32894,119212,517898,505509,27074,39463,25064,1745,4219,5241,3943,1551,4012,2806,1066,3735,2551,4615,21967,20752,3097,4313,   31794,   14147,   -4095,    3795,    -369,    3347,   -3880,   14083,    3634,   -4584,    3012,   12900,   29360,   32512,    2435,    -718,100.0,13.4,21.8,20.1,1.4,7.0,9.9,18.4,15.7,6.4,5.9,22.1,94.7,92.3,5.3,7.7,100.0,13.7,22.1,20.2,0.9,7.0,10.6,19.7,15.3,6.4,6.0,21.9,95.0,92.8,5.0,7.2,100.0,7.0,16.8,20.9,15.7,6.2,16.0,11.2,4.3,14.9,10.2,18.4,87.6,82.8,12.4,17.2,364,     65,     80,     23,      8,     20,     46,     72,     68,     62,     49,     73,281,299,    361,     65,     80,     24,      7,     20,     47,     72,     66,     65,     46,     71,    277,    296,    106,     16,     36,     10,      6,      5,     10,      7,      4,      7,     17,     18,     61,     80,12.9,10.9,21.2,18.2,9.7,6.8,16.0,11.2,12.9,11.1,21.1,18.7,9.6,7.1,15.7,12.1,29.3,27.0,49.9,43.8,27.7,22.3,39.3,32.4,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,Combined
3,WHEAT-SRW - CHICAGO BOARD OF TRADE,200616,2020-06-16,001602,CBT ,0,1,538242,62397,128629,110755,8383,36682,60565,90816,85878,41230,30364,112997,510505,493748,27737,44494,519053,60774,125503,108667,5056,35549,62380,93056,80058,37798,30564,109157,494383,478944,24671,40110,19188,1624,3126,2712,3950,510,3962,3536,43,4042,409,3230,16123,14804,3066,4384,   36307,   16471,    7638,    -217,   -1487,     829,   -4481,     402,   12174,    1220,    2523,   13319,   39316,   35398,   -3009,     909,100.0,11.6,23.9,20.6,1.6,6.8,11.3,16.9,16.0,7.7,5.6,21.0,94.8,91.7,5.2,8.3,100.0,11.7,24.2,20.9,1.0,6.8,12.0,17.9,15.4,7.3,5.9,21.0,95.2,92.3,4.8,7.7,100.0,8.5,16.3,14.1,20.6,2.7,20.6,18.4,0.2,21.1,2.1,16.8,84.0,77.2,16.0,22.8,363,     64,     80,     22,      7,     20,     50,     63,     69,     54,     57,     73,285,293,    360,     64,     80,     23,      6,     20,     52,     62,     68,     56,     56,     70,    280,    291,     99,     15,     36,      6,      7,.,      8,      8,.,     14,     10,     15,     55,     71,12.4,11.4,21.0,18.7,10.1,7.5,16.3,12.5,12.7,11.7,20.8,19.2,9.9,7.8,16.0,13.2,39.6,38.2,56.4,48.8,36.7,32.6,48.0,39.4,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,Combined
